Year,Country,Region,GDP,Population,N2O_Produced,CO2_Produced
2018,Afghanistan,Middle east,67594969088,37171920,4.69,8.345
2018,Albania,Europe,34009112576,2882735,1.08,4.734
2018,Algeria,Africa,5.90318E+11,42228416,12.51,161.487
2018,Angola,Africa,1.7593E+11,30809788,21.67,24.376
2018,Argentina,Americas,8.29373E+11,44361148,48.28,181.1
2018,Armenia,Middle east,33296515072,2951741,1.17,5.826
2018,Australia,Asia/Pacific,1.23856E+12,24898152,77.69,416.001
2018,Austria,Europe,3.82269E+11,8891383,3.83,66.565
2018,Azerbaijan,Middle east,1.60426E+11,9949537,4.27,36.847
2018,Bangladesh,Asia/Pacific,6.86522E+11,161376720,29.35,82.6
2018,Belarus,Europe,1.78435E+11,9452615,12.18,60.962
2018,Belgium,Europe,4.54384E+11,11482180,4.59,100.227
2018,Bolivia,Americas,75704713216,11353140,9.82,23.856
2018,Bosnia and Herzegovina,Europe,41286324224,3323929,1.28,22.075
2018,Brazil,Americas,2.9654E+12,209469312,180.39,483.685
2018,Bulgaria,Europe,1.32183E+11,7051610,4.13,43.638
2018,Canada,Americas,1.6694E+12,37074560,44.44,579.47
2018,Chile,Americas,4.12834E+11,18729166,6.61,84.409
2018,China,Asia/Pacific,1.81516E+13,1427647744,545.19,10289.989
2018,Colombia,Americas,6.51901E+11,49661056,23.07,84.881
2018,Croatia,Europe,84978688000,4156407,1.74,17.698
2018,Cuba,Americas,92551012352,11338146,3.55,22.609
2018,Cyprus,Europe,27790155776,1189262,0.36,7.34
2018,Czechia,Europe,3.261E+11,10665679,5.14,106.132
2018,Denmark,Europe,2.68318E+11,5752131,4.88,34.672
2018,Ecuador,Americas,1.75525E+11,17084360,5.14,37.919
2018,Egypt,Africa,1.22183E+12,98423600,22.59,227.721
2018,Estonia,Europe,35409424384,1322913,1.39,17.945
2018,Finland,Europe,2.14536E+11,5522585,4.94,45.849
2018,France,Europe,2.58167E+12,64990512,38.12,322.372
2018,Gabon,Africa,36693262336,2119275,0.6,4.759
2018,Georgia,Middle east,58984800256,4002946,2.17,10.105
2018,Germany,Europe,3.88596E+12,83124416,33.12,754.112
2018,Greece,Europe,2.50036E+11,10522244,4.33,71.808
2018,Hungary,Europe,2.50426E+11,9707502,5.93,49.408
2018,Iceland,Europe,15315260416,336712,0.38,3.663
2018,India,Asia/Pacific,8.83576E+12,1352642304,265.59,2599.806
2018,Indonesia,Asia/Pacific,3.07546E+12,267670560,98.37,614.884
2018,Iran,Middle east,1.399E+12,81800200,36.59,707.157
2018,Iraq,Middle east,5.13593E+11,38433604,4.78,211.326
2018,Ireland,Europe,3.14322E+11,4818694,9.51,39.195
2018,Israel,Middle east,2.78806E+11,8381507,2.65,60.546
2018,Italy,Europe,2.07721E+12,60627288,15.39,349.02
2018,Japan,Asia/Pacific,4.86701E+12,127202184,18.81,1143.458
2018,Kazakhstan,Middle east,4.63721E+11,18319616,11,317.28
2018,Kuwait,Middle east,2.77117E+11,4137314,0.98,95.575
2018,Kyrgyzstan,Middle east,29601148928,6304025,1.95,11.698
2018,Latvia,Europe,46862479360,1928461,1.86,7.859
2018,Libya,Africa,1.00416E+11,6678565,1.81,53.362
2018,Lithuania,Europe,76617523200,2801270,3.57,13.696
2018,Luxembourg,Europe,35015057408,604244,0.37,9.568
2018,Malaysia,Asia/Pacific,7.73659E+11,31528034,12.38,272.229
2018,Mexico,Americas,2.0066E+12,126190784,43.61,455.308
2018,Moldova,Europe,23299414016,4051950,1.18,5.433
2018,Morocco,Africa,2.9998E+11,36029088,9.37,62.295
2018,Myanmar,Asia/Pacific,3.17599E+11,53708316,26.33,32.68
2018,Netherlands,Europe,8.18056E+11,17059560,7.96,159.02
2018,New Zealand,Asia/Pacific,1.71014E+11,4743131,15.19,35.789
2018,Nigeria,Africa,1.06081E+12,195874688,40.09,127.928
2018,North Macedonia,Europe,27703576576,2082957,0.56,7.024
2018,Norway,Europe,4.49339E+11,5337960,3.36,44.469
2018,Oman,Middle east,1.72358E+11,4829476,1.05,60.617
2018,Pakistan,Middle east,1.21209E+12,212228288,65.74,238.306
2018,Peru,Americas,3.86316E+11,31989266,9.87,54.649
2018,Philippines,Asia/Pacific,9.12443E+11,106651392,13.79,140.658
2018,Poland,Europe,1.05348E+12,37921584,21.4,336.992
2018,Portugal,Europe,2.76344E+11,10256192,2.97,51.492
2018,Qatar,Middle east,4.00649E+11,2781682,0.62,106.927
2018,Romania,Europe,3.86236E+11,19506110,8.95,77.609
2018,Russia,Europe,3.61341E+12,145734032,64.67,1691.647
2018,Saudi Arabia,Middle east,1.67734E+12,33702756,8.07,621.953
2018,Slovakia,Europe,1.46456E+11,5453017,2.02,36.03
2018,Slovenia,Europe,60439879680,2077836,0.81,14.494
2018,South Africa,Africa,6.73272E+11,57792520,19.51,464.193
2018,South Korea,Asia/Pacific,1.95839E+12,51171700,10.31,671.631
2018,Spain,Europe,1.4923E+12,46692864,20.43,269.713
2018,Sweden,Europe,4.63407E+11,9971630,5.45,42.095
2018,Switzerland,Europe,5.31971E+11,8525614,2.41,36.868
2018,Syria,Middle east,56710615040,16945062,2.62,30.366
2018,Tajikistan,Middle east,38206550016,9100847,1.99,9.108
2018,Tanzania,Africa,1.62053E+11,56313444,29.59,11.791
2018,Thailand,Asia/Pacific,1.12403E+12,69428456,21.99,276.177
2018,Tunisia,Africa,1.30322E+11,11565203,3.2,29.363
2018,Turkey,Europe,1.65598E+12,82340096,32.69,419.437
2018,Ukraine,Europe,4.3132E+11,44246156,25.25,232.033
2018,United Arab Emirates,Middle east,7.34906E+11,9630966,1.96,154.204
2018,United Kingdom,Europe,2.54021E+12,67141680,28.13,381.89
2018,United States,Americas,1.81406E+13,327096256,268.55,5375.491
2018,Uruguay,Americas,68560711680,3449290,7.8,6.571
2018,Uzbekistan,Middle east,3.36875E+11,32476232,16.56,114.732
2018,Venezuela,Americas,3.09413E+11,28887118,13.64,120.177
2018,Vietnam,Asia/Pacific,6.61488E+11,95545960,25.44,223.718